DO Number;Referenzbeleg;Date;Client Order Reference;Courier;Tracking Reference;Comission;Comission 2
KL569621;KA504645;23.07.2019;10059862;GLS Normalpaket;352559615471;;
KL578336;KA512267;23.07.2019;10061389;DPD Predict;;;
KL576470;KA510906;23.07.2019;10069322;GLS Normalpaket;352559616980;;
KL576469;KA510906;23.07.2019;10069322;GLS Normalpaket;352559616997;;
KL576468;KA510907;23.07.2019;10070058;GLS Normalpaket;352559616799;;
KL576466;KA510908;23.07.2019;10070916;GLS Normalpaket;352559616911;;
KL576464;KA510908;23.07.2019;10070916;GLS Normalpaket;352559616935;;
KL576463;KA510908;23.07.2019;10070916;GLS Normalpaket;352559616942;;
KL576462;KA510908;23.07.2019;10070916;GLS Normalpaket;352559616959;;
KL576461;KA510908;23.07.2019;10070916;GLS Normalpaket;352559616966;;
KL576467;KA510908;23.07.2019;10070916;GLS Normalpaket;352559617048;;
KL576465;KA510908;23.07.2019;10070916;GLS Normalpaket;352559617062;;
KL576455;KA510912;23.07.2019;10075397;DPD Predict;;;
KL576454;KA510912;23.07.2019;10075397;DPD Predict;;;
KL576452;KA510913;23.07.2019;10076527;DPD Predict;;;
KL576453;KA510913;23.07.2019;10076527;DPD Predict;;;
KL576451;KA510914;23.07.2019;10076536;DPD Predict;;;
KL576450;KA510914;23.07.2019;10076536;DPD Predict;;;
KL578334;KA512269;23.07.2019;10079339;GLS Normalpaket;352559623889;;
KL576428;KA510295;23.07.2019;42742187;GLS Normalpaket;352559616768;;
KL576427;KA510296;23.07.2019;42744300;DPD Predict;;;
KL576426;KA510297;23.07.2019;42760052;DPD Predict;;;
KL576425;KA510298;23.07.2019;42781056;DPD Predict;;;
KL572797;KA487303;23.07.2019;1086697355;DPD Predict;1345056172615;;
KL569679;KA504590;23.07.2019;1088322875;DPD Predict;1345056172599;;
KL569678;KA504590;23.07.2019;1088322875;DPD Predict;1345056172600;;
KL569649;KA504618;23.07.2019;1088446881;GLS Normalpaket;352560290261;;
KL569648;KA504618;23.07.2019;1088446881;GLS Normalpaket;352560290278;;
KL572663;KA507095;23.07.2019;1088508611;GLS Normalpaket;352560290117;;
KL572652;KA507104;23.07.2019;1088567077;GLS Normalpaket;352560290100;;
KL576737;KA510665;23.07.2019;1088594029;GLS Normalpaket;352530055333;;
KL576735;KA510667;23.07.2019;1088613591;GLS Paket OVL Berlin;103004142673;;
KL576734;KA510668;23.07.2019;1088614715;GLS Normalpaket;352560290032;;
KL572618;KA507134;23.07.2019;1088655425;;352530057047;;
KL576731;KA510671;23.07.2019;1088657805;DPD Predict;1345056172601;;
KL576729;KA510673;23.07.2019;1088683725;DPD Predict;1345056172603;;
KL576728;KA510673;23.07.2019;1088683725;DPD Predict;1345056172609;;
KL576727;KA510674;23.07.2019;1088685349;;352530055968;;
KL576726;KA510675;23.07.2019;1088685743;;352530056811;;
KL576725;KA510676;23.07.2019;1088687853;DPD Predict;1345056172623;;
KL576724;KA510677;23.07.2019;1088688673;DPD Predict;1345056172617;;
KL576723;KA510678;23.07.2019;1088689181;;352530055555;;
KL576722;KA510679;23.07.2019;1088690329;;352530056217;;
KL576721;KA510680;23.07.2019;1088692899;;352530055562;;
KL576720;KA510681;23.07.2019;1088693421;GLS Normalpaket;352560290049;;
KL576718;KA510683;23.07.2019;1088697075;DPD Predict;1345056172616;;
KL576717;KA510684;23.07.2019;1088701315;;352530055579;;
KL576716;KA510685;23.07.2019;1088703715;;352530056828;;
KL576715;KA510686;23.07.2019;1088704399;;352530055487;;
KL576714;KA510687;23.07.2019;1088704787;;352530055449;;
KL576713;KA510687;23.07.2019;1088704787;;352530055456;;
KL576712;KA510687;23.07.2019;1088704787;;352530055463;;
KL576711;KA510687;23.07.2019;1088704787;;352530055470;;
