DO Number,Referenzbeleg,Date,Client Order Reference,Courier,Tracking Reference,Comission,Comission 2,
KL591946,KA523113,08.08.19,sand-123839051130-2137984149002,GLS Normalpaket,352559719292,,,,
KL591974,KA523087,08.08.19,sand-173968747010-2042354724007,GLS Normalpaket,352559719308,,,,
KL590006,KA521557,08.08.19,305-4966393-0836315_2,DPD Predict,01345057491609,,,,
KL584751,KA515539,08.08.19,171-7896631-1399556,DPD Predict,01345057491646,42455967624939,,,
KL598042,KA529926,08.08.19,1090788487,DPD Predict,01345056172754,,,,
KL591923,KA523039,08.08.19,sand-122241302388-2138083857002,DPD Predict,01345057491602,,,,
KL584903,KA515395,08.08.19,028-5646105-3619530,GLS Normalpaket,352559718899,28186623724363,,,
KL584678,KA515598,08.08.19,302-2172966-8361164,GLS Normalpaket,352559718905,54879919813387,,,
KL584582,KA515688,08.08.19,302-5973552-4471521,GLS Normalpaket,352559718912,62359814465555,,,
KL592609,KA525623,08.08.19,1090472561,DPD Predict,01345056172752,,,,
KL587302,KA519287,08.08.19,sand-MPCS7H4,GLS Normalpaket,352559718950,,,,
KL587299,KA519248,08.08.19,sand-M3YR7H4,GLS Normalpaket,352559718974,,,,
KL588033,KA519787,08.08.19,303-8876250-1239534,GLS Normalpaket,352559719094,54676996079339,,,
KL588967,KA520622,08.08.19,sand-ME6Z7H4,GLS Normalpaket,352559718998,,,,
KL588823,KA520508,08.08.19,sand-MRXBFH4,GLS Normalpaket,352559719018,,,,
KL592723,KA525514,08.08.19,1090298411,DPD Predict,01345056172753,,,,
KL596056,KA526701,08.08.19,sand-172284609662-2043347697007,DPD Predict,01345057491608,,,,
KL588928,KA520656,08.08.19,sand-MTBY7H4,GLS Normalpaket,352559719025,,,,
KL588965,KA520624,08.08.19,sand-MXFZ7H4,GLS Normalpaket,352559719032,,,,
KL590098,KA521594,08.08.19,2462417940,GLS Normalpaket,352559719117,,,,
KL590099,KA521594,08.08.19,2462417940,GLS Normalpaket,352559719124,,,,
KL591384,KA522505,08.08.19,sand-173904578637-2041812296007,GLS Normalpaket,352559719131,,,,
KL591020,KA521823,08.08.19,028-7867536-9400342,GLS Normalpaket,352559719216,24230499226579,,,
KL592234,KA525203,08.08.19,sand-M65EGH4,GLS Normalpaket,352559719377,,,,
KL592254,KA525184,08.08.19,sand-MK46GH4,GLS Normalpaket,352559719384,,,,
KL598526,KA530001,08.08.19,028-3320734-6386751,DPD Predict,01345057491545,21465846596339,,,
KL592515,KA525392,08.08.19,2469134240,GLS Normalpaket,352559719421,,,,
KL592765,KA525299,08.08.19,2467021190,GLS Normalpaket,352559719438,,,,
KL596033,KA526723,08.08.19,sand-MFL8SH4,GLS Normalpaket,352559719407,,,,
KL596260,KA526865,08.08.19,sand-MPX9SH4,GLS Normalpaket,352559719445,,,,
KL596123,KA526749,08.08.19,sand-MCYSSH4,GLS Normalpaket,352559719452,,,,
KL596957,KA528071,08.08.19,sand-MZA6KH4,GLS Normalpaket,352559719544,,,,
KL597157,KA528209,08.08.19,sand-M56ZSH4,GLS Normalpaket,352559719551,,,,
KL597091,KA528135,08.08.19,sand-M4U5KH4,GLS Normalpaket,352559719568,,,,
KL596399,KA526958,08.08.19,2470341670,GLS Normalpaket,352559719575,,,,
KL597067,KA528151,08.08.19,sand-MSD9KH4,GLS Normalpaket,352559719582,,,,
KL596361,KA526993,08.08.19,2471438740,GLS Normalpaket,352559719599,,,,
KL595920,KA525676,08.08.19,028-1503772-4033940,DPD Predict,01345057491503,15997696055243,,,
KL598534,KA529993,08.08.19,028-2535623-4083566,DPD Predict,01345057491499,64900218416083,,,
KL598140,KA529835,08.08.19,4294553201-A-1,DPD Predict,01345057491463,,,,
KL597702,KA529415,08.08.19,304-4461823-4410729,DPD Predict,01345057491473,63964495386163,,,
KL598393,KA529253,08.08.19,302-7067029-7212329,DPD Predict,01345057491481,11194104648155,,,
KL598394,KA529253,08.08.19,302-7067029-7212329,DPD Predict,01345057491482,11194104648155,,,
KL598082,KA529888,08.08.19,1107188039,DPD COD BUS,01345057491483,,,,
KL598702,KA530151,08.08.19,302-7080755-7877148,DPD Predict,01345057491485,42456531973547,,,
KL598703,KA530151,08.08.19,302-7080755-7877148,DPD Predict,01345057491486,42456531973547,,,
KL598310,KA529332,08.08.19,303-5586493-1474701,DPD Predict,01345057491502,49751279181315,,,
KL598036,KA529932,08.08.19,1090799515,DPD Predict,01345056172748,,,,
KL598543,KA530291,08.08.19,304-0114743-2381126,DPD Predict,01345057491493,00275739110763,,,
KL598544,KA530291,08.08.19,304-0114743-2381126,DPD Predict,01345057491494,00275739110763,,,
KL598567,KA530271,08.08.19,303-7159507-8399548,DPD Predict,01345057491596,35598324206635,,,
KL599165,KA530385,08.08.19,304-9526931-6727528,GLS Normalpaket,352559725842,57703313059803,,,
KL599238,KA530320,08.08.19,304-2905450-4857904,GLS Normalpaket,352559725873,26837613934091,,,
KL599180,KA530373,08.08.19,304-7805486-6358763,GLS Normalpaket,352559725859,48736432373003,,,
KL599188,KA530365,08.08.19,304-7384756-1381161,GLS Normalpaket,352559725866,69468206058739,,,
KL599321,KA530077,08.08.19,171-0469747-8605960,GLS Normalpaket,352559725880,27349610865043,,,
KL599110,KA530432,08.08.19,305-4417399-4358742,GLS Normalpaket,352559725897,56221628736251,,,
KL599111,KA530431,08.08.19,305-4266691-3632350,GLS Normalpaket,352559725903,03413718952827,,,
KL598857,KA530650,08.08.19,406-5897291-8337138,GLS Normalpaket,352559725934,60197232238227,,,
KL591927,KA523037,08.08.19,sand-122241285353-2138053757002,DPD Predict,01345057491605,,,,
KL592062,KA525031,08.08.19,sand-122241285353-2138596993002,DPD Predict,01345057491606,,,,
KL598877,KA530632,08.08.19,405-2636078-1955533,GLS Normalpaket,352559725941,61594390513627,,,
KL592412,KA525487,08.08.19,1090267061,DPD Predict,01345056172751,,,,
KL598587,KA530254,08.08.19,303-5379169-8030764,GLS Normalpaket,352559725767,24412488882587,,,
KL598594,KA530248,08.08.19,303-4633448-8681135,GLS Normalpaket,352559725774,24384230616979,,,
KL598595,KA530248,08.08.19,303-4633448-8681135,GLS Normalpaket,352559725781,24384230616979,,,
KL598675,KA530173,08.08.19,302-8233058-6570739,DPD Predict,01345057491462,59592980319355,,,
KL598623,KA530222,08.08.19,303-2809598-0366757,GLS Normalpaket,352559725798,45311455036235,,,
KL597470,KA529111,08.08.19,028-1540663-7574760,DPD Predict,01345057491538,05873006793587,,,
KL598878,KA530632,08.08.19,405-2636078-1955533,GLS Normalpaket,352559725958,61594390513627,,,
KL598664,KA530183,08.08.19,302-9384085-9238761,GLS Normalpaket,352559725804,53130143412731,,,
KL598940,KA530578,08.08.19,306-9143503-6409931,GLS Normalpaket,352559725965,50233802889283,,,
KL598486,KA530040,08.08.19,028-6881306-8462708,DPD Predict,01345057491539,34670323518867,,,
KL598814,KA530689,08.08.19,408-5889760-4297923,GLS Normalpaket,352559725811,13188355911835,,,
KL598575,KA530264,08.08.19,303-6122360-1675558,DPD Predict,01345057491598,21519976211515,,,
KL598899,KA530612,08.08.19,403-7187700-1262716,GLS Normalpaket,352559725828,18522618020203,,,
KL597895,KA529624,08.08.19,306-7359582-1742751,DPD Predict,01345057491599,23012564840363,,,
KL573599,KA507868,08.08.19,2029973668007_2,DPD Predict,01345057491618,,,,
KL599169,KA530381,08.08.19,304-8840755-8188323,DPD Predict,01345057491579,38534337925227,,,
KL598983,KA530541,08.08.19,306-4944270-8220300,GLS Normalpaket,352559725835,53992705572651,,,
KL599100,KA530441,08.08.19,305-5053744-1033126,GLS Normalpaket,352559725972,58310718380819,,,
KL599185,KA530368,08.08.19,304-7558038-2383540,DPD Predict,01345057491580,35847095774155,,,
